school_code,school_name,school_year,pmf_score,pmf_tier,framework,ward,years_in_operation,money_spent_on_personnel_%,asian_%,black_%,hispanic_%,native_american_%,pacific_islander_%,white_%,multiracial_%,sped_%,ell_%,at_risk_%,audited_enrollment_%,growth_assessment,ela_growth_%,math_growth_%,achievement_assessment,ela_3+_%,ela_4+_%,math_3+_%,math_4+_%,isa_%,reenrollment_%
217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,2018-2019,60.10%,2,PK-8,8,7,51.36007643,0,97.1,1.9,0.5,0.3,0,0.3,9.6,0.8,67.2,375,NWEA MAP,63.5,65,PARCC,32.3,14.5,48.4,19.4,88.8,64.4
1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,2018-2019,35.30%,2,PK-8,8,12,51.36007643,0,97.6,0.7,0.4,0.2,0,1.1,19.2,0,65.3,449,PARCC,41.1,42.5,PARCC,39.9,19.5,35,12.5,91.3,80.2
3068,BASIS DC PCS,2018-2019,84.30%,1,PK-8,2,8,57.7267519,7.2,33.8,8.6,0.6,0.2,40.4,9.1,4.2,0.8,8.2,636,PARCC,62.5,52.5,PARCC,94.6,79.5,88.7,67.6,96.6,90
142,Bridges PCS,2018-2019,50.00%,2,PK-8,5,15,68.76659612,1.2,51.9,31.1,0.2,0,10,5.6,39.1,42.5,36.2,412,PARCC,46.1,42.9,PARCC,43.2,19.4,51.4,19.6,93.6,78.4
184,Capital City PCS - Lower School,2018-2019,56.70%,2,PK-8,4,20,70.45034145,1.9,32.2,51.1,0,0,9.3,5.6,14.9,44.3,34.4,323,PARCC,51.8,43,PARCC,47.5,15.2,52.5,28.3,93.6,89.9
182,Capital City PCS - Middle School,2018-2019,65.10%,1,PK-8,4,8,70.45034145,1.5,32.5,52.8,0,0,8.1,5.1,15.2,17.9,29,335,PARCC,55.3,54.6,PARCC,63.7,37.8,54.4,22.1,94,93.8
1103,Center City PCS - Brightwood,2018-2019,82.50%,1,PK-8,4,12,69.89845125,0.4,51.9,45.7,0,0,0.4,1.6,12,48.8,31.4,258,PARCC,63.8,56.1,PARCC,76.6,46,74.5,38,97.1,96.9
1104,Center City PCS - Capitol Hill,2018-2019,47.10%,2,PK-8,6,12,69.89845125,0,87,4.6,0,0,0.4,8,16,0.4,55,262,PARCC,43.5,41.4,PARCC,54.4,22.1,45.6,18.1,93.1,84.9
1105,Center City PCS - Congress Heights,2018-2019,77.60%,1,PK-8,8,12,69.89845125,0,92.4,3.6,0,0,0.8,3.2,6.8,1.6,53.6,250,PARCC,60,65.5,PARCC,68.1,40.6,67.4,39.1,93.9,82.4
1106,Center City PCS - Petworth,2018-2019,61.60%,2,PK-8,4,12,69.89845125,1.2,48,44.4,0,0,2,4.4,13.2,28.8,33.2,250,PARCC,48.7,49.7,PARCC,55.5,34.3,58.7,31.2,94,89.7
1107,Center City PCS - Shaw,2018-2019,59.10%,2,PK-8,6,12,69.89845125,0.4,60.9,33.9,0.4,0,0.4,3.9,13.5,23,44.3,230,PARCC,44.5,44.5,PARCC,58.1,29.1,54.7,31.8,92.8,88.9
1108,Center City PCS - Trinidad,2018-2019,43.10%,2,PK-8,5,12,69.89845125,0,87,6.3,0,0,0.5,6.3,15.9,3.4,61.4,207,PARCC,51.4,38.5,PARCC,49.3,26.1,35.8,13.4,90.8,73.8
102,Cesar Chavez PCS for Public Policy - Parkside Middle School,2018-2019,40.70%,2,PK-8,7,16,55.01725241,0,95.5,4.5,0,0,0,0,18.8,2.3,75.2,133,PARCC,50.2,43.5,PARCC,52.8,30.4,30.2,7.9,89.7,80.4
3069,Creative Minds International PCS,2018-2019,59.70%,2,PK-8,5,8,57.38642495,3.4,37.7,17.1,0,0,33.1,8.7,26.6,6.5,15.9,496,PARCC,47.6,47.6,PARCC,59.7,35.2,57.9,40.5,93.9,84.8
199,DC Bilingual PCS,2018-2019,84.10%,1,PK-8,5,16,60.88011928,0.5,20.3,61.7,0.2,0.2,14.6,2.5,16.2,43.5,26.8,444,PARCC,61.7,78,PARCC,70.4,40.2,65.1,31.4,95.4,92.4
1110,DC Prep PCS - Benning Elementary School,2018-2019,84.80%,1,PK-8,7,12,69.33806161,0.2,92,5.4,0,0,0,2.5,12.7,2.9,57.6,448,NWEA MAP,65,87.5,PARCC,63.9,44.4,73.6,51.4,92.2,86.6
218,DC Prep PCS - Benning Middle School,2018-2019,70.70%,1,PK-8,7,7,69.33806161,0,93.8,4.7,0,0,0,1.5,18.2,1.5,49,341,PARCC,52,54.5,PARCC,70.2,46.4,66.9,38.9,93.4,92.3
130,DC Prep PCS - Edgewood Elementary School,2018-2019,85.70%,1,PK-8,5,13,69.33806161,0.4,82.7,9.8,0.2,0,1.8,5.1,11.8,12,40.7,450,NWEA MAP,63,83.5,PARCC,69.6,37.7,82.6,50.7,94.1,89.1
196,DC Prep PCS - Edgewood Middle School,2018-2019,78.90%,1,PK-8,5,17,69.33806161,0.3,88.3,7.8,0,0,0,3.6,16.2,3.9,32.9,334,PARCC,54.6,60.5,PARCC,75.9,53,83.8,54.9,94.2,88.4
3070,DC Scholars PCS,2018-2019,41.00%,2,PK-8,7,8,51.97427303,0,98.3,0.2,0,0,0,1.5,16.2,0,63.2,543,PARCC,41.7,27.6,PARCC,50,19.2,54.5,22.3,92.3,77
1038,Digital Pioneers Academy PCS,2018-2019,56.00%,,PK-8,7,2,55.95205334,0,96.7,3.3,0,0,0,0,13.3,0,65.8,120,PARCC,55.5,52,PARCC,55.8,27.4,49.5,24.2,92.1,
248,District of Columbia International School,2018-2019,68.60%,1,PK-8,4,6,54.52322596,3.1,35.6,38.5,0.5,0.1,15.9,6.2,15.3,8.1,18.8,1061,PARCC,50.3,48.3,PARCC,80.1,63,70.3,42.5,94.1,95.2
1206,E.L. Haynes PCS - Elementary School,2018-2019,81.80%,1,PK-8,4,16,65.88152647,0.3,39.1,37.4,1.4,0,17.4,4.3,17.4,39.7,33.1,350,PARCC,72.9,57.5,PARCC,64.1,39.8,68,42.7,94.4,92.2
146,E.L. Haynes PCS - Middle School,2018-2019,53.60%,2,PK-8,1,13,65.88152647,0.3,45,44.1,1.4,0.3,3.4,5.4,22.9,20.1,38.4,349,PARCC,47.7,43.5,PARCC,59.3,31.9,51.6,24.9,94,89.9
195,Eagle Academy PCS - Congress Heights,2018-2019,69.70%,1,PK-8,8,17,61.91910959,0.1,99.4,0.4,0,0,0,0,18.8,0,68.5,682,NWEA MAP,66,78,PARCC,42.9,27.1,52.9,21.4,90.1,72
1125,Eagle Academy PCS - Fairlawn,2018-2019,76.80%,1,PK-8,6,8,61.91910959,1.3,86.5,5.1,0,0,7.1,0,20.5,0.6,57.1,156,NWEA MAP,76.5,76,PARCC,50,25,66.7,41.7,91.5,69.5
138,Early Childhood Academy PCS,2018-2019,59.70%,2,PK-8,8,15,59.44237433,0,98.8,1.2,0,0,0,0,20.9,0,74.4,254,NWEA MAP,45.5,83,PARCC,34.5,24.1,27.6,17.2,93,78.3
159,Elsie Whitlow Stokes Community Freedom PCS - Brookland,2018-2019,74.40%,1,PK-8,5,22,66.45903457,1.1,39.4,21.4,0,0,26,12,12.6,13.4,10.6,350,PARCC,57.6,51.3,PARCC,68.1,45.7,69.3,40.9,95.2,93.9
269,Friendship PCS - Armstrong Elementary,2018-2019,47.40%,2,PK-8,5,5,63.12134792,0.2,94.5,3.2,0.7,0.5,0.2,0.5,14.7,6.2,60.6,401,PARCC,33.4,56.4,PARCC,31.6,8.8,63.2,23.7,90.6,81.4
361,Friendship PCS - Blow Pierce Elementary,2018-2019,75.30%,1,PK-8,7,7,63.12134792,0.5,97,2.3,0.3,0,0,0,11.9,4.8,77.2,395,NWEA MAP,79,91,PARCC,26.9,17.3,39.2,5.9,90.8,83.6
362,Friendship PCS - Blow Pierce Middle,2018-2019,54.00%,2,PK-8,7,7,63.12134792,0,97.2,2.4,0,0.4,0,0,23.3,2,73.1,249,PARCC,46,51.8,PARCC,49.4,24.7,52.7,22.2,93.3,85.4
363,Friendship PCS - Chamberlain Elementary,2018-2019,82.70%,1,PK-8,6,7,63.12134792,0,95.7,1.9,0.3,0.3,1.6,0.3,10.3,1.4,57.6,368,NWEA MAP,83,94,PARCC,41.4,20.7,72.4,29.3,92,88.1
364,Friendship PCS - Chamberlain Middle,2018-2019,52.10%,2,PK-8,6,7,63.12134792,0,98.7,1,0,0,0,0.3,22.3,0,52.2,314,PARCC,43,47.2,PARCC,52.6,25.8,61.6,27.5,93.2,90.5
268,Friendship PCS - Online Academy,2018-2019,52.70%,2,PK-8,4,5,63.12134792,1.6,89.5,4.2,2.1,0.5,2.1,0,15.7,1,53.4,191,PARCC,50.5,43.2,PARCC,71.8,46.8,58.5,22,99.7,72.6
113,Friendship PCS - Southeast Elementary,2018-2019,80.60%,1,PK-8,8,15,63.12134792,0,98.8,0.7,0.2,0,0,0.2,6.6,0.2,73.2,411,NWEA MAP,62,87,PARCC,47.5,33.9,64.4,42.4,92.3,87.5
1057,Friendship PCS - Southeast Middle,2018-2019,56.60%,,PK-8,8,2,63.12134792,0,98.3,0.6,0,0,1.1,0,19,0.6,69.3,179,PARCC,52.5,42,PARCC,60.1,24.9,42.8,12.1,95.5,87.5
1124,Friendship PCS - Technology Preparatory Middle School,2018-2019,46.10%,2,PK-8,8,12,63.12134792,0,99.3,0.7,0,0,0,0,29,0,66.7,138,PARCC,48,51.4,PARCC,32.8,9.2,34.4,8.4,93.5,84.6
365,Friendship PCS - Woodridge International Elementary,2018-2019,82.50%,1,PK-8,5,7,63.12134792,0,94.7,3.9,0.4,0,0.4,0.7,8.8,2.1,46.7,285,NWEA MAP,60,89,PARCC,56.8,32.4,86.5,45.9,94.1,85.9
366,Friendship PCS - Woodridge International Middle,2018-2019,80.20%,1,PK-8,5,7,63.12134792,0,94.3,5.3,0,0.4,0,0,12.8,1.3,36.6,227,PARCC,60,76.2,PARCC,69.7,42.1,72.1,37.8,95.7,86.4
245,Harmony DC PCS - School of Excellence,2018-2019,53.50%,2,PK-8,5,6,59.24078037,0,92,5.4,0.9,0,0.9,0.9,16.1,1.8,67.9,112,PARCC,58.2,60.2,PARCC,41.1,14.3,48.2,16.1,90.1,78.6
131,Hope Community PCS - Lamond,2018-2019,52.80%,2,PK-8,4,12,51.62528447,0.4,88.4,10.5,0,0,0.4,0.4,12,14.5,51.4,276,PARCC,54,40.5,PARCC,58.9,37,52.8,22.2,93.9,69
114,Hope Community PCS - Tolson,2018-2019,53.80%,2,PK-8,5,15,51.62528447,0,90.1,9.5,0.2,0,0,0.2,13.1,8.8,60.2,465,PARCC,50.8,52.2,PARCC,57.9,20.6,44.7,14.6,92.7,78.9
115,Howard University Middle School of Mathematics and Science PCS,2018-2019,42.40%,2,PK-8,1,15,65.43767895,0,94.7,4.2,0.4,0,0,0.7,11.7,1.4,47,283,PARCC,45,36,PARCC,62.3,34.4,50.6,13.3,92.7,80.3
200,Ingenuity Prep PCS,2018-2019,56.80%,2,PK-8,8,7,68.05677386,0.2,97.9,1.6,0,0,0.4,0,23.6,0.2,65.4,560,PARCC,57,46.1,PARCC,56.8,34.7,67.4,37.9,88.4,84.8
3064,Inspired Teaching Demonstration PCS,2018-2019,73.60%,1,PK-8,5,9,62.92802326,2.6,36.6,6.6,0.4,0,43.2,10.6,15.7,4.7,16.8,470,PARCC,53.3,49.7,PARCC,79.3,59.9,69.2,47.3,95.3,92.3
116,KIPP DC - AIM Academy PCS,2018-2019,56.60%,2,PK-8,8,15,64.73067364,0,100,0,0,0,0,0,20.5,0,55.8,391,PARCC,49.7,45.8,PARCC,68,34.1,64.8,33.6,91.8,87.6
3071,KIPP DC - Heights Academy PCS,2018-2019,69.50%,1,PK-8,8,9,64.73067364,0,99.1,0.4,0.2,0,0.2,0,20.1,0.4,61.7,462,PARCC,50.3,55.8,PARCC,65.4,44.2,88,65.9,91.9,88.2
189,KIPP DC - KEY Academy PCS,2018-2019,54.10%,2,PK-8,7,19,64.73067364,0,97,3,0,0,0,0,21.1,0.3,47.2,337,PARCC,46.8,33.4,PARCC,68.9,46.2,64.4,33.5,93.3,91.9
190,KIPP DC - Lead Academy PCS,2018-2019,66.40%,1,PK-8,6,8,64.73067364,0.3,95.5,3,0,0,1.3,0,18,2,47.8,400,PARCC,47.2,54.2,PARCC,72.2,41,87.8,69.3,92.7,83.7
242,KIPP DC - Northeast Academy PCS,2018-2019,44.50%,2,PK-8,5,6,64.73067364,0,98.5,1.5,0,0,0,0,17.6,0.6,48.6,329,PARCC,40.5,44.7,PARCC,59.7,31.7,51.4,21.3,91.1,82.3
1121,KIPP DC - Promise Academy PCS,2018-2019,90.80%,1,PK-8,7,11,64.73067364,0,97.5,2.5,0,0,0,0,12.5,1.9,59.1,518,PARCC,69.8,65.4,PARCC,76.9,56.6,91.8,77.5,92.6,92.6
237,KIPP DC - Quest Academy PCS,2018-2019,70.80%,1,PK-8,7,6,64.73067364,0,99,0.7,0.2,0,0,0,12.1,0.2,58,412,PARCC,63.2,66.2,PARCC,53.3,30.2,74.2,46.7,91.6,78.5
214,KIPP DC - Spring Academy PCS,2018-2019,61.40%,2,PK-8,5,7,64.73067364,0,97.3,2.7,0,0,0,0,13.9,1.9,54.7,411,PARCC,48.5,50,PARCC,59.1,25.8,89.4,60.6,92.7,83.6
243,KIPP DC - Valor Academy PCS,2018-2019,50.30%,2,PK-8,7,5,64.73067364,0,97.9,1.8,0.3,0,0,0,20.8,0.3,53.6,336,PARCC,55.3,40.2,PARCC,62.5,33.5,40.3,15.4,93,82.8
121,KIPP DC - WILL Academy PCS,2018-2019,63.70%,2,PK-8,6,14,64.73067364,0.6,95.1,4,0,0,0.3,0,20.7,0,46.3,328,PARCC,50.4,55.4,PARCC,66.3,37.8,65,33.8,93.1,85.4
193,Latin American Montessori Bilingual PCS,2018-2019,79.10%,1,PK-8,4,17,61.60737663,1.9,17.2,33.2,0.4,0.4,38,8.8,15.3,25.2,8,476,PARCC,60.8,56.8,PARCC,85.4,55.4,76.9,36.2,94.6,93
228,Lee Montessori PCS - Brookland,2018-2019,67.00%,1,PK-8,5,6,64.93733224,3.3,38.1,5.7,0,0.5,44.8,7.6,21.4,0.5,10.5,210,PARCC,76,49.5,PARCC,51.6,25.8,46.7,26.7,95.1,86.4
135,Mary McLeod Bethune Day Academy PCS,2018-2019,50.10%,2,PK-8,5,16,70.97566426,1.5,75.5,13.6,1,0,5.8,2.7,10.4,15.5,47.9,413,PARCC,49.8,55.2,PARCC,49.7,24.8,48.3,22.1,90.9,72.3
165,Meridian PCS,2018-2019,58.40%,2,PK-8,1,21,61.61932548,0.9,64,25.9,0.3,0,8.6,0.3,11.7,29.8,50,642,PARCC,57.2,56.7,PARCC,43.7,20,39.3,18.7,92.3,83.5
3065,Mundo Verde Bilingual PCS - J.F. Cook,2018-2019,80.90%,1,PK-8,5,9,63.81821233,2.5,18,34.7,0,0,34.3,10.4,14,19.5,12.5,594,PARCC,62.4,59.5,PARCC,66.8,41.8,68.2,48.2,95.4,93.4
170,Paul PCS - Middle School,2018-2019,45.80%,2,PK-8,4,20,65.14765446,0.4,60.3,38.5,0,0.4,0,0.4,17.2,14.5,36.6,262,PARCC,45.5,40.5,PARCC,57.6,31.8,40.2,11.8,94.8,82.9
161,Perry Street Preparatory PCS,2018-2019,69.40%,1,PK-8,5,22,40.02246994,0.3,86.6,7.1,0.8,0.3,1.6,3.3,15.5,11.2,54.8,367,PARCC,62,63,PARCC,63.5,30.4,51.4,14.2,93.1,82.2
1016,Rocketship PCS - Legacy Prep,2018-2019,74.00%,1,PK-8,7,3,29.72769598,0,96.6,1.5,0,0.4,0,1.5,10.5,1.5,70.6,466,NWEA MAP,66,64,PARCC,53.3,37.8,61.4,36.4,90.3,76
286,Rocketship PCS - Rise Academy,2018-2019,53.80%,2,PK-8,8,4,29.72769598,0,96.8,1.1,0.3,0.2,0.2,1.5,15,1.8,79.1,618,PARCC,58,47.5,PARCC,60.8,31.8,57.4,20.9,92,72.1
173,Roots PCS,2018-2019,51.30%,2,PK-8,4,21,56.08620542,0,98.2,1.8,0,0,0,0,5.5,4.6,53.2,109,PARCC,,,PARCC,38.1,14.3,52.4,33.3,92,70.5
174,SEED PCS of Washington DC,2018-2019,40.60%,2,PK-8,7,22,64.57200306,0,97.9,1.1,0,0.4,0.4,0.4,20.1,0.7,61.3,284,PARCC,38.6,45,PARCC,54.5,19.2,43.4,11.1,94,81.5
197,Sela PCS,2018-2019,68.00%,1,PK-8,4,7,67.30398122,0.9,66.4,12.2,0.4,0,20.1,0,10.9,11.4,17.9,229,PARCC,59.9,60.4,PARCC,61.7,42.6,76.6,55.3,92.3,76.7
3066,Shining Stars Montessori Academy PCS,2018-2019,41.40%,2,PK-8,5,9,51.29103162,2.1,50.9,13.2,0,1.1,21.7,11,9.6,17.1,17.4,281,PARCC,53.7,30.3,PARCC,46.3,24.4,26.8,9.8,95.6,69.8
1037,Statesmen College Preparatory  Academy for Boys PCS,2018-2019,48.30%,,PK-8,7,2,55.05756789,0,98.1,1.9,0,0,0,0,27.8,0,48.1,54,PARCC,50,44,PARCC,48.1,11.1,38.9,16.7,95.6,
198,Two Rivers PCS - 4th Street,2018-2019,72.30%,1,PK-8,6,16,62.2460416,1.3,61.9,8.1,0,0,21.6,7,22.9,4.2,21.2,528,PARCC,59.5,52.9,PARCC,74.1,50.9,70.3,39.9,93.4,89.6
270,Two Rivers PCS - Young,2018-2019,63.20%,2,PK-8,5,5,62.2460416,1.5,52.1,7.8,0.3,0,29.2,9,19.9,2.7,20.2,332,PARCC,51,39,PARCC,51.6,28.4,53.7,25.3,94.4,90.8
263,Washington Global PCS,2018-2019,50.80%,2,PK-8,6,5,52.84553919,0,97.2,0.9,0,0,0.9,0.9,25.9,0.9,59.3,216,PARCC,47.8,48.6,PARCC,52.4,23.8,36.9,14.6,94.1,87.3
125,Washington Latin PCS - Middle School,2018-2019,67.50%,1,PK-8,4,14,66.4087813,3,39.7,9.2,0,0,42.7,5.4,11.6,1.9,6.8,370,PARCC,44.7,47.5,PARCC,84.4,63.4,75.1,48.1,96,94.5
